GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US01001,01001,"Autauga County, Alabama",54571,54571,54634,55392,55514
0500000US01003,01003,"Baldwin County, Alabama",182265,182265,183275,186830,190790
0500000US01005,01005,"Barbour County, Alabama",27457,27457,27366,27313,27201
0500000US01007,01007,"Bibb County, Alabama",22915,22919,22863,22738,22597
0500000US01009,01009,"Blount County, Alabama",57322,57322,57359,57748,57826
0500000US01011,01011,"Bullock County, Alabama",10914,10915,10880,10599,10474
0500000US01013,01013,"Butler County, Alabama",20947,20946,20929,20598,20307
0500000US01015,01015,"Calhoun County, Alabama",118572,118572,118423,117815,117296
0500000US01017,01017,"Chambers County, Alabama",34215,34215,34125,34005,34064
0500000US01019,01019,"Cherokee County, Alabama",25989,25986,25981,26094,26021
0500000US01021,01021,"Chilton County, Alabama",43643,43642,43700,43814,43819
0500000US01023,01023,"Choctaw County, Alabama",13859,13858,13836,13629,13633
0500000US01025,01025,"Clarke County, Alabama",25833,25840,25757,25600,25161
0500000US01027,01027,"Clay County, Alabama",13932,13932,13882,13656,13435
0500000US01029,01029,"Cleburne County, Alabama",14972,14972,14962,14937,14832
0500000US01031,01031,"Coffee County, Alabama",49948,49948,50135,50485,51252
0500000US01033,01033,"Colbert County, Alabama",54428,54428,54489,54419,54446
0500000US01035,01035,"Conecuh County, Alabama",13228,13228,13195,13100,12981
0500000US01037,01037,"Coosa County, Alabama",11539,11544,11549,11109,10966
0500000US01039,01039,"Covington County, Alabama",37765,37765,37774,38094,37955
0500000US01041,01041,"Crenshaw County, Alabama",13906,13906,13867,13959,14083
0500000US01043,01043,"Cullman County, Alabama",80406,80406,80471,80479,80440
0500000US01045,01045,"Dale County, Alabama",50251,50251,50333,50141,50444
0500000US01047,01047,"Dallas County, Alabama",43820,43820,43782,43189,42864
0500000US01049,01049,"DeKalb County, Alabama",71109,71112,71108,71463,71080
0500000US01051,01051,"Elmore County, Alabama",79303,79296,79544,80149,80629
0500000US01053,01053,"Escambia County, Alabama",38319,38319,38287,38153,37994
0500000US01055,01055,"Etowah County, Alabama",104430,104430,104452,104298,104392
0500000US01057,01057,"Fayette County, Alabama",17241,17241,17219,17042,16983
0500000US01059,01059,"Franklin County, Alabama",31704,31709,31723,31786,31761
0500000US01061,01061,"Geneva County, Alabama",26790,26790,26813,26803,26931
0500000US01063,01063,"Greene County, Alabama",9045,9045,8999,8921,8876
0500000US01065,01065,"Hale County, Alabama",15760,15760,15706,15371,15388
0500000US01067,01067,"Henry County, Alabama",17302,17302,17292,17423,17287
0500000US01069,01069,"Houston County, Alabama",101547,101547,101787,102425,103402
0500000US01071,01071,"Jackson County, Alabama",53227,53226,53158,53230,53019
0500000US01073,01073,"Jefferson County, Alabama",658466,658466,658391,658967,660009
0500000US01075,01075,"Lamar County, Alabama",14564,14564,14505,14313,14259
0500000US01077,01077,"Lauderdale County, Alabama",92709,92709,92709,92663,92542
0500000US01079,01079,"Lawrence County, Alabama",34339,34339,34302,34091,33838
0500000US01081,01081,"Lee County, Alabama",140247,140251,140761,143580,147257
0500000US01083,01083,"Limestone County, Alabama",82782,82782,83213,85539,87654
0500000US01085,01085,"Lowndes County, Alabama",11299,11299,11252,11111,10857
0500000US01087,01087,"Macon County, Alabama",21452,21450,21533,21213,20535
0500000US01089,01089,"Madison County, Alabama",334811,334811,336168,339673,343080
0500000US01091,01091,"Marengo County, Alabama",21027,21029,20943,20699,20401
0500000US01093,01093,"Marion County, Alabama",30776,30777,30788,30527,30327
0500000US01095,01095,"Marshall County, Alabama",93019,93019,93185,94102,94776
0500000US01097,01097,"Mobile County, Alabama",412992,412992,413216,413145,413936
0500000US01099,01099,"Monroe County, Alabama",23068,23070,22974,22779,22602
0500000US01101,01101,"Montgomery County, Alabama",229363,229363,229753,231910,230149
0500000US01103,01103,"Morgan County, Alabama",119490,119490,119585,120024,120395
0500000US01105,01105,"Perry County, Alabama",10591,10581,10522,10509,10181
0500000US01107,01107,"Pickens County, Alabama",19746,19746,19690,19371,19405
0500000US01109,01109,"Pike County, Alabama",32899,32899,32964,32893,33182
0500000US01111,01111,"Randolph County, Alabama",22913,22914,22889,22842,22675
0500000US01113,01113,"Russell County, Alabama",52947,52949,53238,55035,57820
0500000US01115,01115,"St. Clair County, Alabama",83593,83598,83835,84348,85237
0500000US01117,01117,"Shelby County, Alabama",195085,195080,195879,198123,200941
0500000US01119,01119,"Sumter County, Alabama",13763,13763,13746,13542,13427
0500000US01121,01121,"Talladega County, Alabama",82291,82291,82023,81774,81762
0500000US01123,01123,"Tallapoosa County, Alabama",41616,41618,41508,41495,41168
0500000US01125,01125,"Tuscaloosa County, Alabama",194656,194653,194969,196818,198596
0500000US01127,01127,"Walker County, Alabama",67023,67023,67011,66665,66221
0500000US01129,01129,"Washington County, Alabama",17581,17586,17598,17340,17109
0500000US01131,01131,"Wilcox County, Alabama",11670,11665,11572,11510,11431
0500000US01133,01133,"Winston County, Alabama",24484,24483,24385,24281,24108
0500000US02013,02013,"Aleutians East Borough, Alaska",3141,3141,3152,3178,3161
0500000US02016,02016,"Aleutians West Census Area, Alaska",5561,5561,5535,5521,5547
0500000US02020,02020,"Anchorage Municipality, Alaska",291826,291826,293400,296108,298610
0500000US02050,02050,"Bethel Census Area, Alaska",17013,17013,17083,17468,17746
0500000US02060,02060,"Bristol Bay Borough, Alaska",997,997,1002,1034,991
0500000US02068,02068,"Denali Borough, Alaska",1826,1826,1834,1844,1875
0500000US02070,02070,"Dillingham Census Area, Alaska",4847,4847,4868,4989,5034
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",97581,97581,98267,99286,100272
0500000US02100,02100,"Haines Borough, Alaska",2508,2508,2502,2555,2552
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2150,2150,2149,2120,2129
0500000US02110,02110,"Juneau City and Borough, Alaska",31275,31275,31418,32240,32556
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",55400,55400,55594,56426,56900
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",13477,13477,13542,13685,13779
0500000US02150,02150,"Kodiak Island Borough, Alaska",13592,13592,13631,13913,14239
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1631,1631,1634,1661,1654
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",88995,88995,89777,91930,93925
0500000US02180,02180,"Nome Census Area, Alaska",9492,9492,9548,9892,9915
0500000US02185,02185,"North Slope Borough, Alaska",9430,9430,9462,9536,9643
0500000US02188,02188,"Northwest Arctic Borough, Alaska",7523,7523,7535,7727,7810
0500000US02195,02195,"Petersburg Census Area, Alaska",3815,3819,3827,3842,3844
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",5559,5559,5596,5755,5751
0500000US02220,02220,"Sitka City and Borough, Alaska",8881,8881,8908,8914,9046
0500000US02230,02230,"Skagway Municipality, Alaska",968,968,960,939,959
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",7029,7029,7067,7126,7144
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",9636,9636,9674,9730,9717
0500000US02270,02270,"Wade Hampton Census Area, Alaska",7459,7459,7462,7648,7809
0500000US02275,02275,"Wrangell City and Borough, Alaska",2369,2365,2371,2383,2403
0500000US02282,02282,"Yakutat City and Borough, Alaska",662,662,660,662,668
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",5588,5588,5588,5748,5770
0500000US04001,04001,"Apache County, Arizona",71518,71518,71676,72327,73195
0500000US04003,04003,"Cochise County, Arizona",131346,131346,131627,132770,132088
0500000US04005,04005,"Coconino County, Arizona",134421,134420,134611,134105,136011
0500000US04007,04007,"Gila County, Arizona",53597,53597,53544,53495,53144
0500000US04009,04009,"Graham County, Arizona",37220,37220,36847,37150,37416
0500000US04011,04011,"Greenlee County, Arizona",8437,8437,8347,8615,8802
0500000US04012,04012,"La Paz County, Arizona",20489,20489,20465,20484,20281
0500000US04013,04013,"Maricopa County, Arizona",3817117,3817117,3823563,3868525,3942169
0500000US04015,04015,"Mohave County, Arizona",200186,200186,200380,202592,203334
0500000US04017,04017,"Navajo County, Arizona",107449,107449,107608,107174,107094
0500000US04019,04019,"Pima County, Arizona",980263,980263,981915,987573,992394
0500000US04021,04021,"Pinal County, Arizona",375770,375770,385812,383553,387365
0500000US04023,04023,"Santa Cruz County, Arizona",47420,47420,47380,47448,47303
0500000US04025,04025,"Yavapai County, Arizona",211033,211033,210249,211130,212637
0500000US04027,04027,"Yuma County, Arizona",195751,195750,196786,200374,200022
0500000US05001,05001,"Arkansas County, Arkansas",19019,19018,18991,18855,18892
0500000US05003,05003,"Ashley County, Arkansas",21853,21853,21820,21645,21524
0500000US05005,05005,"Baxter County, Arkansas",41513,41513,41547,41261,41048
0500000US05007,05007,"Benton County, Arkansas",221339,221344,222908,227535,232268
0500000US05009,05009,"Boone County, Arkansas",36903,36903,36927,37088,37327
0500000US05011,05011,"Bradley County, Arkansas",11508,11508,11494,11476,11397
0500000US05013,05013,"Calhoun County, Arkansas",5368,5368,5326,5281,5307
0500000US05015,05015,"Carroll County, Arkansas",27446,27446,27549,27467,27610
0500000US05017,05017,"Chicot County, Arkansas",11800,11800,11787,11676,11433
0500000US05019,05019,"Clark County, Arkansas",22995,22995,22954,22986,22936
0500000US05021,05021,"Clay County, Arkansas",16083,16083,16078,15877,15684
0500000US05023,05023,"Cleburne County, Arkansas",25970,25970,26002,25943,25808
0500000US05025,05025,"Cleveland County, Arkansas",8689,8689,8691,8682,8627
0500000US05027,05027,"Columbia County, Arkansas",24552,24552,24760,24697,24473
0500000US05029,05029,"Conway County, Arkansas",21273,21271,21253,21192,21287
0500000US05031,05031,"Craighead County, Arkansas",96443,96443,96705,98308,99735
0500000US05033,05033,"Crawford County, Arkansas",61948,61948,62013,61863,61946
0500000US05035,05035,"Crittenden County, Arkansas",50902,50902,50952,50491,50021
0500000US05037,05037,"Cross County, Arkansas",17870,17870,17841,17761,17683
0500000US05039,05039,"Dallas County, Arkansas",8116,8116,8073,8079,7987
0500000US05041,05041,"Desha County, Arkansas",13008,13008,12970,12713,12545
0500000US05043,05043,"Drew County, Arkansas",18509,18509,18662,18695,18743
0500000US05045,05045,"Faulkner County, Arkansas",113237,113237,114176,116482,118704
0500000US05047,05047,"Franklin County, Arkansas",18125,18125,18120,18013,18045
0500000US05049,05049,"Fulton County, Arkansas",12245,12245,12237,12335,12318
0500000US05051,05051,"Garland County, Arkansas",96024,96024,96230,96637,96903
0500000US05053,05053,"Grant County, Arkansas",17853,17853,17875,17929,17986
0500000US05055,05055,"Greene County, Arkansas",42090,42090,42195,42752,43163
0500000US05057,05057,"Hempstead County, Arkansas",22609,22609,22591,22535,22373
0500000US05059,05059,"Hot Spring County, Arkansas",32923,32923,33121,33005,33394
0500000US05061,05061,"Howard County, Arkansas",13789,13789,13818,13850,13735
0500000US05063,05063,"Independence County, Arkansas",36647,36646,36827,36890,37025
0500000US05065,05065,"Izard County, Arkansas",13696,13696,13678,13558,13474
0500000US05067,05067,"Jackson County, Arkansas",17997,17998,18051,17862,17600
0500000US05069,05069,"Jefferson County, Arkansas",77435,77435,77372,75974,74723
0500000US05071,05071,"Johnson County, Arkansas",25540,25540,25566,25693,25901
0500000US05073,05073,"Lafayette County, Arkansas",7645,7645,7637,7546,7447
0500000US05075,05075,"Lawrence County, Arkansas",17415,17412,17500,17262,17012
0500000US05077,05077,"Lee County, Arkansas",10424,10424,10385,10303,10216
0500000US05079,05079,"Lincoln County, Arkansas",14134,14134,14055,14317,14101
0500000US05081,05081,"Little River County, Arkansas",13171,13171,13141,12954,12919
0500000US05083,05083,"Logan County, Arkansas",22353,22353,22325,22323,21983
0500000US05085,05085,"Lonoke County, Arkansas",68356,68356,68650,69313,69839
0500000US05087,05087,"Madison County, Arkansas",15717,15720,15707,15726,15645
0500000US05089,05089,"Marion County, Arkansas",16653,16653,16649,16625,16568
0500000US05091,05091,"Miller County, Arkansas",43462,43462,43541,43741,43634
0500000US05093,05093,"Mississippi County, Arkansas",46480,46480,46406,46079,45562
0500000US05095,05095,"Monroe County, Arkansas",8149,8150,8111,8046,7828
0500000US05097,05097,"Montgomery County, Arkansas",9487,9487,9482,9382,9340
0500000US05099,05099,"Nevada County, Arkansas",8997,8997,8971,9001,8925
0500000US05101,05101,"Newton County, Arkansas",8330,8330,8339,8271,8086
0500000US05103,05103,"Ouachita County, Arkansas",26120,26121,26111,25739,25396
0500000US05105,05105,"Perry County, Arkansas",10445,10445,10457,10384,10339
0500000US05107,05107,"Phillips County, Arkansas",21757,21757,21674,21383,20784
0500000US05109,05109,"Pike County, Arkansas",11291,11291,11279,11234,11247
0500000US05111,05111,"Poinsett County, Arkansas",24583,24583,24542,24450,24307
0500000US05113,05113,"Polk County, Arkansas",20662,20662,20665,20570,20471
0500000US05115,05115,"Pope County, Arkansas",61754,61754,62100,62569,62765
0500000US05117,05117,"Prairie County, Arkansas",8715,8715,8700,8575,8458
0500000US05119,05119,"Pulaski County, Arkansas",382748,382748,383530,386822,388953
0500000US05121,05121,"Randolph County, Arkansas",17969,17969,17977,18019,17930
0500000US05123,05123,"St. Francis County, Arkansas",28258,28258,28178,27961,27858
0500000US05125,05125,"Saline County, Arkansas",107118,107118,107662,110020,111845
0500000US05127,05127,"Scott County, Arkansas",11233,11233,11271,11247,11010
0500000US05129,05129,"Searcy County, Arkansas",8195,8195,8182,8076,8007
0500000US05131,05131,"Sebastian County, Arkansas",125744,125744,125847,126948,127304
